名称,网站数量,抓取数量,URL,
莱芜,7,7,http://lw.esf.sina.com.cn,
抚顺,10,10,http://fushun.esf.sina.com.cn,
贵港,16,16,http://gg.esf.sina.com.cn,
扬州,183,183,http://yangzhou.esf.sina.com.cn,
秦皇岛,234,234,http://qhd.esf.sina.com.cn,
枣庄,248,248,http://zz.esf.sina.com.cn,
威海,338,338,http://weihai.esf.sina.com.cn,
唐山,367,367,http://tangshan.esf.sina.com.cn,
桂林,384,384,http://gl.esf.sina.com.cn,
南通,427,427,http://nt.esf.sina.com.cn,
兰州,467,467,http://lanzhou.esf.sina.com.cn,
芜湖,570,570,http://wuhu.esf.sina.com.cn,
徐州,698,698,http://xz.esf.sina.com.cn,
潍坊,707,707,http://weifang.esf.sina.com.cn,
包头,799,799,http://bt.esf.sina.com.cn,
宁波,800,800,http://nb.esf.sina.com.cn,
天津,816,816,http://tj.esf.sina.com.cn,
银川,863,863,http://yinchuan.esf.sina.com.cn,
常州,1069,1069,http://cz.esf.sina.com.cn,
乌鲁木齐,1097,1097,http://wlmq.esf.sina.com.cn,
贵阳,1443,1443,http://gy.esf.sina.com.cn,
佛山,1613,1613,http://fs.esf.sina.com.cn,
南昌,1786,1786,http://nc.esf.sina.com.cn,
呼和浩特,1809,1809,http://hhht.esf.sina.com.cn,
昆山,2201,2201,http://ks.esf.sina.com.cn,
中山,2347,2325,http://zhongshan.esf.sina.com.cn,
烟台,2637,2637,http://yt.esf.sina.com.cn,
惠州,2941,2941,http://huizhou.esf.sina.com.cn,
厦门,3050,3050,http://xm.esf.sina.com.cn,
东莞,3058,3058,http://dg.esf.sina.com.cn,
南宁,3068,3068,http://nn.esf.sina.com.cn,
福州,3313,3313,http://fz.esf.sina.com.cn,
珠海,3447,3447,http://zhuhai.esf.sina.com.cn,
合肥,3645,3564,http://hf.esf.sina.com.cn,
太原,3813,3813,http://shanxi.esf.sina.com.cn,
哈尔滨,3913,3913,http://h.esf.sina.com.cn,
无锡,3929,3929,http://wx.esf.sina.com.cn,
海南,4532,4532,http://haikou.esf.sina.com.cn,
大连,6367,6367,http://dl.esf.sina.com.cn,
长春,6399,6399,http://cc.esf.sina.com.cn,
昆明,6859,6859,http://yn.esf.sina.com.cn,
沈阳,8585,8585,http://sy.esf.sina.com.cn,
石家庄,9077,9077,http://sjz.esf.sina.com.cn,
西安,11673,11673,http://sx.esf.sina.com.cn,
济南,11717,11717,http://sd.esf.sina.com.cn,
南京,12088,12088,http://nj.esf.sina.com.cn,
武汉,14612,14614,http://wh.esf.sina.com.cn,
长沙,14920,14921,http://cs.esf.sina.com.cn,
青岛,15082,14968,http://qd.esf.sina.com.cn,
郑州,16320,16320,http://hn.esf.sina.com.cn,
苏州,16734,16734,http://suzhou.esf.sina.com.cn,
北京,20837,19817,http://bj.esf.sina.com.cn,页面上根据地区算下来是17121
重庆,20850,20850,http://cq.esf.sina.com.cn,
杭州,21661,21661,http://hz.esf.sina.com.cn,
成都,26490,26489,http://cd.esf.sina.com.cn,
广州,40892,40892,http://gz.esf.sina.com.cn,
深圳,56572,56572,http://sz.esf.sina.com.cn,
上海,103899,46600,http://sh.esf.sina.com.cn,网页上根据地区算下来是47031
,,,,
总计,504279,445745,,
