城市	抓取数量	domain
安庆	0	anqing
安顺	0	anshun
安阳	0	anyang
鞍山	323	anshan
澳门	0	macao
白城	0	baicheng
白山	0	baishan
百色	0	baise
蚌埠	0	bengbu
包头	323	bt
宝鸡	0	baoji
保定	489	baoding
北海	46	beihai
北京	6434	bj
本溪	0	benxi
毕节	0	bijie
滨州	0	binzhou
博鳌	0	boao
沧州	0	cangzhou
昌吉	0	changji
常德	402	changde
常熟	86	changshu
常州	497	cz
朝阳	0	chaoyang
潮州	0	chaozhou
郴州	188	chenzhou
成都	2613	sc
承德	0	chengde
赤峰	0	chifeng
重庆	3191	cq
滁州	0	chuzhou
达州	91	dazhou
大连	1267	dl
大庆	138	daqing
大同	0	datong
大兴安岭	0	dxal
丹东	0	dandong
德阳	196	deyang
德州	0	dezhou
东莞	1165	dg
东营	308	dy
鄂尔多斯	139	eeds
鄂州	0	ezhou
防城港	72	fcg
佛山	539	fs
福州	143	fj
抚顺	0	fushun
抚州	94	fuzhou
阜阳	0	fuyang
赣州	239	ganzhou
广西	486	gx
广元	0	guangyuan
广州	3889	gz
贵阳	363	guizhou
桂林	432	guilin
哈尔滨	702	h
海南	1034	han
汉中	0	hanzhong
杭州	0	hz
合肥	1223	hf
河源	0	heyuan
菏泽	0	heze
鹤壁	0	hebi
鹤岗	0	hegang
黑河	0	heihe
衡水	0	hengshui
衡阳	301	hengyang
呼和浩特	502	hhht
湖州	0	huzhou
葫芦岛	0	hld
怀化	196	hh
淮安	0	huaian
淮北	0	huaibei
淮南	0	huainan
黄冈	0	huanggang
黄山	0	huangshan
黄石	96	huangshi
惠州	544	huizhou
鸡西	0	jixi
吉安	25	ja
吉首	0	jishou
济南	1028	sd
济宁	0	jining
济源	0	jiyuan
佳木斯	0	jms
嘉兴	0	jiaxing
嘉峪关	0	jiayuguan
江门	209	jiangmen
江阴	0	jiangyin
焦作	0	jiaozuo
揭阳	0	jieyang
金华	0	jinhua
金门	0	jinmen
锦州	0	jinzhou
晋城	0	jincheng
荆门	0	jingmen
荆州	120	jingzhou
景德镇	0	jdz
九江	197	jiujiang
喀什	0	kashi
开封	0	kaifeng
凯里	0	kaili
昆山	400	ks
拉萨	0	lasa
莱芜	0	laiwu
兰州	181	lanzhou
乐山	272	leshan
连云港	0	lyg
辽阳	0	liaoyang
辽源	0	liaoyuan
聊城	0	liaocheng
临汾	0	linfen
临沂	0	linyi
柳州	401	liuzhou
六安	0	la
六盘水	0	lps
龙岩	0	longyan
娄底	218	loudi
泸州	126	luzhou
吕梁	0	lvliang
洛阳	0	luoyang
漯河	0	luohe
马鞍山	12	mas
茂名	0	maoming
眉山	163	meishan
梅州	0	meizhou
牡丹江	0	mdj
南昌	602	nc
南充	319	nanchong
南京	0	nj
南通	547	nt
南阳	0	nanyang
内江	0	neijiang
宁波	1115	nb
攀枝花	79	pzh
盘锦	0	panjin
平顶山	0	pds
莆田	0	putian
濮阳	0	puyang
七台河	0	qth
齐齐哈尔	0	qqhe
钦州	90	qinzhou
秦皇岛	385	qhd
青岛	1333	qd
清远	0	qingyuan
衢州	0	quzhou
泉州	487	quanzhou
日照	0	rizhao
三门峡	0	smx
三明	0	sanming
三亚	149	sanya
厦门	80	xm
汕头	284	shantou
汕尾	0	shanwei
商丘	0	shangqiu
上海	7208	sh
上饶	0	shangrao
韶关	0	shaoguan
邵阳	0	shaoyang
绍兴	235	shaoxing
深圳	1631	sz
沈阳	1704	sy
十堰	0	shiyan
石家庄	1082	sjz
双鸭山	0	sys
朔州	0	shuozhou
松原	0	songyuan
苏州	638	suzhou
宿迁	0	suqian
绥化	0	suihua
随州	0	suizhou
遂宁	33	suining
台州	698	taizhou
太仓	0	taicang
太原	0	shanxi
泰安	80	taian
泰州	0	tz
唐山	627	tangshan
天津	2408	tj
铁岭	0	tieling
通化	0	tonghua
通辽	0	tongliao
铜川	0	tongchuan
铜陵	0	tongling
威海	383	weihai
潍坊	423	weifang
温州	0	wenzhou
乌海	0	wuhai
乌兰察布	0	wm
乌鲁木齐	0	wlmq
无锡	0	wx
吴江	0	wujiang
芜湖	0	wuhu
梧州	0	wuzhou
武汉	2021	wh
西安	1184	sx
西昌	0	xichang
西宁	143	xining
咸宁	0	xianning
咸阳	0	xianyang
仙桃	0	xiantao
湘潭	188	xiangtan
襄阳	0	xiangyang
孝感	0	xiaogan
忻州	0	xinzhou
新乡	0	xinxiang
信阳	0	xinyang
邢台	0	xingtai
兴义	0	xingyi
徐州	409	xz
许昌	0	xuchang
宣城	0	xuancheng
烟台	545	yt
延安	0	yanan
延吉	0	yanji
盐城	0	yancheng
扬州	0	yangzhou
阳江	0	yangjiang
阳泉	0	yangquan
伊春	0	yichun
益阳	169	yiyang
宜宾	138	yibin
宜昌	191	yichang
宜春	0	yc
宜兴	190	yx
银川	337	yinchuan
鹰潭	0	yingtan
营口	0	yingkou
永州	366	yongzhou
玉林	0	yulin
岳阳	202	yueyang
云南	759	yn
运城	0	yuncheng
枣庄	0	zaozhuang
湛江	0	zhanjiang
张家港	0	zjg
张家界	104	zjj
张家口	115	zjk
漳州	0	zhangzhou
长春	668	cc
长沙	1361	cs
长治	0	changzhi
肇庆	0	zhaoqing
镇江	0	zhenjiang
郑州	1303	hn
中山	517	zhongshan
舟山	0	zhoushan
周口	0	zhoukou
株洲	237	zz
珠海	243	zhuhai
驻马店	0	zmd
淄博	242	zb
自贡	73	zigong
遵义	0	zunyi
		
		
		
		
		
		
		
		
		
	66428	
