城市,抓取数量,URL
au,0,newhouse.au.fang.com
puer,0,newhouse.puer.fang.com
guan,0,newhouse.guan.fang.com
ny,0,newhouse.ny.fang.com
la,0,newhouse.la.fang.com
sf,0,newhouse.sf.fang.com
tianjin,0,newhouse.tj.fang.com
chengde,0,newhouse.chengde.fang.com
shuozhou,0,newhouse.shuozhou.fang.com
tieling,0,newhouse.tieling.fang.com
baicheng,0,newhouse.baicheng.fang.com
hegang,0,newhouse.hegang.fang.com
shennongjia,0,newhouse.shennongjia.fang.com
tianmen,0,newhouse.tianmen.fang.com
fuzhou,0,newhouse.jxfuzhou.fang.com
shanwei,0,newhouse.shanwei.fang.com
liupanshui,0,newhouse.liupanshui.fang.com
pingliang,0,newhouse.pingliang.fang.com
jiuquan,0,newhouse.jiuquan.fang.com
longnan,0,newhouse.longnan.fang.com
guyuan,0,newhouse.guyuan.fang.com
kelamayi,0,newhouse.kelamayi.fang.com
xianggang,0,newhouse.www.hkproperty.com
taiwan,0,newhouse.www.twproperty.com.tw
xinjiapo,0,newhouse.www.sgproperty.com
wengehua,0,newhouse.vancouver.fang.com
yanjiao,0,newhouse.yanjiao.fang.com
haiwai,0,newhouse.world.fang.com
boston,0,newhouse.boston.fang.com
bulgaria,0,newhouse.bulgaria.fang.com
chicago,0,newhouse.chicago.fang.com
hebi,1,newhouse.hebi.fang.com
yangquan,1,newhouse.yangquan.fang.com
jinzhong,1,newhouse.jinzhong.fang.com
xinzhou,1,newhouse.xinzhou.fang.com
tonghua,1,newhouse.tonghua.fang.com
tongliao,1,newhouse.tl.fang.com
baishan,1,newhouse.baishan.fang.com
shuangyashan,1,newhouse.shuangyashan.fang.com
qitaihe,1,newhouse.qitaihe.fang.com
heihe,1,newhouse.heihe.fang.com
suihua,1,newhouse.suihua.fang.com
zhangjiagang,1,newhouse.zjg.fang.com
taizhou,1,newhouse.tz.fang.com
xiantao,1,newhouse.xiantao.fang.com
bozhou,1,newhouse.bozhou.fang.com
yingtan,1,newhouse.yingtan.fang.com
jingzhou,1,newhouse.jingzhou.fang.com
enshi,1,newhouse.enshi.fang.com
lijiang,1,newhouse.lijiang.fang.com
xishuangbanna,1,newhouse.xishuangbanna.fang.com
zhangye,1,newhouse.zhangye.fang.com
dingxi,1,newhouse.dingxi.fang.com
shizuishan,1,newhouse.shizuishan.fang.com
zhongwei,1,newhouse.zhongwei.fang.com
wanzhou,1,newhouse.wanzhou.fang.com
zhuozhou,1,newhouse.zhuozhou.fang.com
yaan,2,newhouse.yaan.fang.com
yuxi,2,newhouse.yuxi.fang.com
chaohu,2,newhouse.chaohu.fang.com
yongzhou,2,newhouse.yongzhou.fang.com
meizhou,2,newhouse.meizhou.fang.com
fangchenggang,2,newhouse.fangchenggang.fang.com
hechi,2,newhouse.hechi.fang.com
dazhou,2,newhouse.dazhou.fang.com
anshun,2,newhouse.anshun.fang.com
qiannan,2,newhouse.qiannan.fang.com
chuxiong,2,newhouse.chuxiong.fang.com
baiyin,2,newhouse.baiyin.fang.com
wuzhong,2,newhouse.wuzhong.fang.com
changzhi,3,newhouse.changzhi.fang.com
huainan,3,newhouse.huainan.fang.com
dehong,3,newhouse.dehong.fang.com
baoji,3,newhouse.baoji.fang.com
wuwei,3,newhouse.wuwei.fang.com
fuxin,4,newhouse.fuxin.fang.com
xinyu,4,newhouse.xinyu.fang.com
puyang,4,newhouse.puyang.fang.com
xuchang,4,newhouse.xuchang.fang.com
nanyang,4,newhouse.nanyang.fang.com
qujing,4,newhouse.qujing.fang.com
wenshan,4,newhouse.wenshan.fang.com
jiayuguan,4,newhouse.jiayuguan.fang.com
suizhou,5,newhouse.suizhou.fang.com
loudi,5,newhouse.loudi.fang.com
hezhou,5,newhouse.hezhou.fang.com
jinchang,5,newhouse.jinchang.fang.com
panjin,6,newhouse.panjin.fang.com
tongling,6,newhouse.tongling.fang.com
zhangjiajie,6,newhouse.zhangjiajie.fang.com
baise,6,newhouse.baise.fang.com
guangan,6,newhouse.guangan.fang.com
lincang,6,newhouse.lincang.fang.com
yulin,7,newhouse.yl.fang.com
jinzhou,7,newhouse.jinzhou.fang.com
siping,7,newhouse.siping.fang.com
liaoyuan,7,newhouse.liaoyuan.fang.com
pingtan,7,newhouse.pingtan.fang.com
fuyang,7,newhouse.fuyang.fang.com
xinyang,7,newhouse.xinyang.fang.com
huaihua,7,newhouse.huaihua.fang.com
ankang,7,newhouse.ankang.fang.com
rizhao,8,newhouse.rz.fang.com
bazhong,8,newhouse.bazhong.fang.com
hanzhong,8,newhouse.hanzhong.fang.com
