城市	抓取数量	domain	
章丘	0	http://newhouse.zhangqiu.fang.com/house/s/list/	
诸城	0	http://newhouse.zhucheng.fang.com/house/s/list/	
招远	0	http://newhouse.zy.fang.com/house/s/list/	
寿光	0	http://newhouse.sg.fang.com/house/s/list/	
朔州	0	http://newhouse.shuozhou.fang.com/house/s/list/	
阿坝州	0	http://newhouse.abazhou.fang.com/house/s/list/	
克拉玛依	0	http://newhouse.kelamayi.fang.com/house/s/list/	
万州	0	http://newhouse.wanzhou.fang.com/house/s/list/	
綦江	0	http://newhouse.qijiang.fang.com/house/s/list/	
黔江	0	http://newhouse.qianjiang.fang.com/house/s/list/	
丰都	0	http://newhouse.cqfengdu.fang.com/house/s/list/	
江津	0	http://newhouse.cqjiangjin.fang.com/house/s/list/	
铜梁	0	http://newhouse.cqtongliang.fang.com/house/s/list/	
长寿	0	http://newhouse.cqchangshou.fang.com/house/s/list/	
南川	0	http://newhouse.cqnanchuan.fang.com/house/s/list/	
福州	0	http://newhouse.fz.fang.com/house/s/list/	
福清	0	http://newhouse.fq.fang.com/house/s/list/	
汕尾	0	http://newhouse.shanwei.fang.com/house/s/list/	
六盘水	0	http://newhouse.liupanshui.fang.com/house/s/list/	
平凉	0	http://newhouse.pingliang.fang.com/house/s/list/	
酒泉	0	http://newhouse.jiuquan.fang.com/house/s/list/	
陇南	0	http://newhouse.longnan.fang.com/house/s/list/	
甘南	0	http://newhouse.gannan.fang.com/house/s/list/	
临夏	0	http://newhouse.linxia.fang.com/house/s/list/	
三沙	0	http://newhouse.sansha.fang.com/house/s/list/	
五指山	0	http://newhouse.wuzhishan.fang.com/house/s/list/	
汝州	0	http://newhouse.ruzhou.fang.com/house/s/list/	
济源	0	http://newhouse.jiyuan.fang.com/house/s/list/	
鹤岗	0	http://newhouse.hegang.fang.com/house/s/list/	
伊春	0	http://newhouse.hljyichun.fang.com/house/s/list/	
大兴安岭	0	http://newhouse.dxal.fang.com/house/s/list/	
神农架	0	http://newhouse.shennongjia.fang.com/house/s/list/	
天门	0	http://newhouse.tianmen.fang.com/house/s/list/	
承德	0	http://newhouse.chengde.fang.com/house/s/list/	
固安	0	http://newhouse.guan.fang.com/house/s/list/	
燕郊	0	http://newhouse.yanjiao.fang.com/house/s/list/	
苏州	0	http://newhouse.suzhou.fang.com/house/s/list/	
泰州	0	http://newhouse.taizhou.fang.com/house/s/list/	
吴江	0	http://newhouse.wj.fang.com/house/s/list/	
宜兴	0	http://newhouse.yixing.fang.com/house/s/list/	
沭阳	0	http://newhouse.shuyang.fang.com/house/s/list/	
抚州	0	http://newhouse.jxfuzhou.fang.com/house/s/list/	
白城	0	http://newhouse.baicheng.fang.com/house/s/list/	
铁岭	0	http://newhouse.tieling.fang.com/house/s/list/	
庄河	0	http://newhouse.zhuanghe.fang.com/house/s/list/	
固原	0	http://newhouse.guyuan.fang.com/house/s/list/	
